issue_id,issue_type,entity_type,polity_id,polity_name,field_name,selected_value,alternative_values,source_titles,source_urls,note,action_in_v03
issue_0001,merged_v02_contexts,polity,polity_0003,东周,polity_name/dynasty_name,周/周朝/东周,周/周代诸侯国/東周(-770..-256) | 周/周朝/東周(-770..-256),《史记·周本纪》,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8 | https://dict.revised.moe.edu.tw/appendix.jsp?ID=2&la=0&page=*&powerMode=0 | https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E6%9C%9D%E4%BB%A3 | https://zh.wikipedia.org/wiki/%E5%91%A8%E6%9C%9D%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8,v02 中存在简繁、异体或泛称/专称重复上下文；v03 合并为一个 polity_id。,merged into one polity master record and regenerated yearly rows once
issue_0002,partial_boundary,polity,polity_0010,中山国,polity_start_year/polity_end_year,..-296,,《史记·赵世家》,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8 | https://zh.wikipedia.org/wiki/%E5%91%A8%E6%9C%9D%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8,v02 缺少可解析的完整起止年份；v03 不伪造缺失边界，只保留 v02 已有年度范围。,yearly table generated from existing v02 actual years for this polity
issue_0003,merged_v02_contexts,polity,polity_0017,刘宋,polity_name/dynasty_name,魏晋南北朝/南北朝/刘宋,魏晋南北朝/五胡十六国/劉宋(420..479) | 魏晋南北朝/南北朝/劉宋(420..479) | 魏晋南北朝/南北朝/宋(420..479),《宋书》/《南史》,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E6%9C%9D%E4%BB%A3 | https://dict.revised.moe.edu.tw/appendix.jsp?ID=2&la=0&page=*&powerMode=0 | https://zh.wikipedia.org/wiki/%E5%8D%97%E5%8C%97%E6%9C%9D | https://zh.wikipedia.org/wiki/%E5%8D%97%E5%8C%97%E6%9C%9D%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8,v02 中存在简繁、异体或泛称/专称重复上下文；v03 合并为一个 polity_id。,merged into one polity master record and regenerated yearly rows once
issue_0004,merged_v02_contexts,polity,polity_0022,前蜀,polity_name/dynasty_name,五代十国/十国/前蜀,五代十国/五代十国/前蜀(907..925) | 五代十国/十国/前蜀(907..925),《新五代史·前蜀世家》,https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD | https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E6%9C%9D%E4%BB%A3 | https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8,v02 中存在简繁、异体或泛称/专称重复上下文；v03 合并为一个 polity_id。,merged into one polity master record and regenerated yearly rows once
issue_0005,merged_v02_contexts,polity,polity_0027,北汉,polity_name/dynasty_name,五代十国/十国/北汉,五代十国/五代十国/北漢(951..979) | 五代十国/十国/北汉(951..979),《宋史·世家》,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E6%9C%9D%E4%BB%A3 | https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8 | https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD,v02 中存在简繁、异体或泛称/专称重复上下文；v03 合并为一个 polity_id。,merged into one polity master record and regenerated yearly rows once
issue_0006,merged_v02_contexts,polity,polity_0030,北魏,polity_name/dynasty_name,魏晋南北朝/南北朝/北魏,魏晋南北朝/五胡十六国/北魏(386..534) | 魏晋南北朝/南北朝/北魏(386..534),《魏书》/《北史》,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E6%9C%9D%E4%BB%A3 | https://dict.revised.moe.edu.tw/appendix.jsp?ID=2&la=0&page=*&powerMode=0 | https://zh.wikipedia.org/wiki/%E5%8D%97%E5%8C%97%E6%9C%9D | https://zh.wikipedia.org/wiki/%E5%8D%97%E5%8C%97%E6%9C%9D%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8,v02 中存在简繁、异体或泛称/专称重复上下文；v03 合并为一个 polity_id。,merged into one polity master record and regenerated yearly rows once
issue_0007,merged_v02_contexts,polity,polity_0033,南唐,polity_name/dynasty_name,五代十国/十国/南唐,五代十国/五代十国/南唐(937..975) | 五代十国/十国/南唐(937..975),《宋史·世家》,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E6%9C%9D%E4%BB%A3 | https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8 | https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD,v02 中存在简繁、异体或泛称/专称重复上下文；v03 合并为一个 polity_id。,merged into one polity master record and regenerated yearly rows once
issue_0008,merged_v02_contexts,polity,polity_0036,南汉,polity_name/dynasty_name,五代十国/十国/南汉,五代十国/五代十国/南漢(917..971) | 五代十国/十国/南汉(917..971),《宋史·世家》,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E6%9C%9D%E4%BB%A3 | https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8 | https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD,v02 中存在简繁、异体或泛称/专称重复上下文；v03 合并为一个 polity_id。,merged into one polity master record and regenerated yearly rows once
issue_0009,merged_v02_contexts,polity,polity_0038,南齐,polity_name/dynasty_name,魏晋南北朝/南北朝/南齐,魏晋南北朝/南北朝/南齊(479..502) | 魏晋南北朝/南北朝/齐(479..502),《南齐书》/《梁书》,https://dict.revised.moe.edu.tw/appendix.jsp?ID=2&la=0&page=*&powerMode=0 | https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E6%9C%9D%E4%BB%A3 | https://zh.wikipedia.org/wiki/%E5%8D%97%E5%8C%97%E6%9C%9D | https://zh.wikipedia.org/wiki/%E5%8D%97%E5%8C%97%E6%9C%9D%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8,v02 中存在简繁、异体或泛称/专称重复上下文；v03 合并为一个 polity_id。,merged into one polity master record and regenerated yearly rows once
issue_0010,merged_v02_contexts,polity,polity_0040,卫国,polity_name/dynasty_name,周/周代诸侯国/卫国,周/周代诸侯国/衛國(-1040..-209) | 周/周代诸侯国/衞國(-1040..-209),《史记·卫康叔世家》,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8 | https://zh.wikipedia.org/wiki/%E5%91%A8%E6%9C%9D%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8 | https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,v02 中存在简繁、异体或泛称/专称重复上下文；v03 合并为一个 polity_id。,merged into one polity master record and regenerated yearly rows once
